,comment
3,"►Werbung: 1&1 Deal - https://1u1.de/7vsWild 

►Jetzt das Samsung Galaxy S22  und Galaxy Watch5 ab 0,- € einmalig zur 1&1 All-Net-Flat sichern"
4,"Respekt an das Krokodil, dass es bis Tag 6 OHNE EINEN GEGENSTAND mit Otto ausgehalten hat! Hätte das niemals erwartet ️"
5,"Wie krass wäre es denn bitte, wenn Knossi tatsächlich eine Tages-Challenge gewinnt? "
6,"Ich bin mittlerweile wirklich voll davon überzeugt, dass Knossi mit dem Feuerstahl so gut umgehen kann wie die outdoor-Experten"
7,"Fritz beim Spuren lesen: ""Hirsch, Wildschein...keine Ahnung, vielleicht auch T-Rex, die sind jedoch recht selten."" Er hat das so nüchtern gesagt.
Ich lache immer noch :D"
8,"Schon süß,das Fritz denkt, dass die Kandidaten mit Feuerstahl fähig sind ein Feuer zu machen "
9,"Respekt allen gegenüber, die noch dabei sind, obwohl sie gesundheitliche Probleme haben: Otto hat Rücken, Sascha den Durchmarsch, Knossie Zahnschmerzen, Fritz ist schon fast im Delirium... Joris scheint noch am wenigsten Beschwerden zu haben..."
10,"Wie schön ist es bitte, das Knossi so zuversichtlich ist, dass Sascha noch drin ist bei der Transition."
11,"Wie ich es Otto einfach komplett abgekauft hätte, wenn man im Umschlag nicht schon das Thermometer gesehen hätte "
12,"Fritz fragt sich, ob er Fieber hat. 
Auch Fritz: hat ein Temperaturmessgerät und nutzt es nicht."
13,"Otto spielt mit dem Thermometer als wäre es eine echte Pistole, wie es jeder vernünftige Erwachsene Mann erstmal gemacht hätte  
Das habe ich bei den anderen Teilnehmern ehrlich gesagt etwas vermisst "
14,"wie Joris einfach prophezeit hat, dass er für die Challenge an Tag 6 n Feuer braucht. "
15,Wie Otto einfach kurzfristig aus dem Nichts eine Challenge erfindet
16,Großer Respekt an die Bakterien die seit Tag 1 loyal an Saschas Seite sind.
17,"Knossi kann das so gut beschreiben, wie er sich fühlt und was das alles bei ihm verändert. Klingt teils fast nach Transzendenz "
18,"Jetzt mal ohne Scheiß,wer findet auch das Knossi echt einfach das beste Mindset von allen Teilnehmern hat? Er blendet die Schmerzen aus die kaum jemand anders aushalten könnte, lässt sich nie unterkriegen obwohl er sogar Wahnvorstellungen hat, freut sich über Kleinigkeiten wie seinen Thron wie ein kleines Kind...Der Typ ist echt einfach nur der Wahnsinn!!!! Go Knossi "
19,immer wieder schön Otto bei seinem urlaub zuzusehen
20,"Knossi ist einfach jede Folge so eine Bereicherung, immer wieder witzig :D"
21,"Joris in der letzten Folge: ""ich hoffe die nächste Challenge hat nichts mit Feuer zu tun."" 

Joris liest die nächste Challenge vor: ""Messe eine Warme und kalte Temperatur ️"""
22,"Fritz beim Schauen der 1. Staffel: Warum macht Chris einen Betttag?
Fritz in der 2. Staffel: Heute mach ich mal einen Betttag!"
23,"Sabrina: Hat krass durchgezogen, aber auf gut Deutsch auch einfach kein Bock mehr.
Knossi: Zieht weiter durch, genau so wie sein Zahnschmerz sich durch seinen Schädel zieht.
Sascha: Hält eine Rede zum Thema wertvolle Gesundheit. Auch Sascha geht 5min vorher bei Gewitter im Meer tauchen. Egal Hauptsache Formcheck."
24,"Die Folgen sind einfach geil anzusehen, danke dafür, Sascha bester Mann geht bei Gewitter schwimmen mit einer nicht wasserfestem Temp.gerät und wundert sich warum es nicht mehr funktioniert.  Knossi würde ich es wünschen, dass er mal eine Challenge gewinnt, Hammer der Typ und eine Riesenüberraschung dieser Staffel. Otto  muss bei der nächsten unbedingt dabei sein um sein Potenzial auszuschöpfen."
25,"Otto so eine Maschine, verliert nie seinen Humor, immer locker unterwegs, optimistisch
größte Bereicherung für diese Sendung"
26,"Bekommt noch jemand automatisch bei den Otto Ausschnitten gute Laune? Man der Typ ist nicht zu brechen, hätte gerne so ein Mindset wie er und Knossi, zu heftig"
27,"Wie immer das alles ausgeht, Knossis Spruch wird  Geschichte schreiben,"" Du musst hart sein, wenn der Dschungel weint!"" Einfach zum Feiern"
28,Nochmal riesen Respekt an die Tiere die sich mit Otto auf die Insel trauen
29,"Kluge Worte von Sascha zum Thema Gesundheit
""Gesundheit ist nicht alles aber ohne Gesundheit ist alles nichts"""
30,"Ein bisschen ab vom Thema, aber ich fänd eine „7 vs wild - Expertenstaffel“ richtig cool ️ 
Je länger ich zusehe, desto mehr würde mich interessieren, wie z.B. Fritz und Otto die 7 Tage mit den vollen 7 Gegenständen verbracht hätten. Es wäre echt spannend zu sehen, was man maximal im Survival rausholen kann "
31,Otto ist einfach so Gut drauf dass ist einfach Krass ^^ der Mann läuft da seit 6 Tagen rum nichts gegessen und sein Bett hat es komplett zerlegt so wie bei Sabrina aber er zieht einfach durch
32,Wie Knosi egal ob es Regnet oder Stürmt einfach immer Feuer macht 
33,"Der Start ist aber erstmal enttäuschend. Sabrina will  nicht in den Wald und bricht ab,  Knossi denkt da nicht mal drüber nach und macht es einfach. Also der Kerl hat ist ein absoluter Benefit für die Serie.  Top"
34,"Otto hat seine Kroko Challenge so realistisch vorgelesen, das ich wirklich dachte dass er das machen muss "
35,"Was für eine Folge! 6ter Tag und es wird spannender und spannender. Wirklich sehr gut gemacht von allen Teilnehmern/innen und dem Team dahinter. Die erste Staffel war im Gegensatz zur zweiten, bis jetzt ein Kinderspiel. Richtig Bock auf alles was jetzt noch kommt!"
36,"Man berichtet, dass der Baum den Kontakt mit Otto nicht überstanden hat. Wie locker Otto das so wegsteckt. 

Nach wie vor bietet Knossi den größten Unterhaltungswert. Er ist viel widerstandsfähiger als man erwarten durfte. Dicken Daumen nach oben!"
37,"finde es schade wie viele von joris nichts halten. meinen respekt hat er auf jeden fall. -  bis auf otto sehen alle ziemlich schlecht aus. wenn ich sie nicht alle schon in streams gesehen hätte danach, würde ich mir jetzt ernsthaft sorgen machen. klasse leistung, von ALLEN (auch die abgeholten)."
38,"Zum Glück war die Aufgabe heute nicht ""Föhne dich an einem möglichst kalten Ort, hier hast Du einen Föhn und einen 220V Generator"", sonst wär der Sascha auch noch mit Föhn ins Wasser gegangen. "
39,Knossi mit Nikotinentzug und Zahnschmerzen einfach schon 6 Tage geschafft... Dicken Respekt!
40,"„so wie das schwert von prinz marcus“

knossi killt mich immer wieder in dieser staffel"
41,"Sascha erinnert mich einfach an so ein kleines Kind, dass immer alles Ausprobieren will: ""Hm, funktioniert das auch unter Wasser?""
Max und Johannes: [Genervt ] ""Hast du etwa nicht zugehört?!"""
42,"Otto hat mich so Hops genommen mit der ""persönlichen Challenge"" "
43,"Knossi hab ich von anfang an geglaubt dass der die 7Tage vom Mindset her echt machen kann, bin mir auch sicher dass er ohne verletzung etc durchhält. Aber bei der Challenge 6 hat er mir am Meisten gefallen, mega die Entwicklung zu sehen."
44,"Sabrina: Hat scheiß Nächte weil ihr Shelter fast weggespült wird 
Auch Sabrina: Macht lieber Challenges für paar Punkte anstatt ihr Shelter zu verlegen️"
45,"Sascha: Warum kümmern wir uns eigentlich besser um Dinge als um unseren Körper?
Auch Sascha: Ertränkt sein Messgerät im Meer"
46,Hätte nie im Leben gedacht das Knossi mental und survival technisch so stark ist 
47,"Otto ist einfach der Mann der stunde er lebt den Soldaten im Kopf ""nichts ist so beständig wie die Lage Änderung"" ich Feier  die Staffel 
Danke an das Gesamte Team und Alle Teilnehmer"
48,"Tag 6 und ich habe inzwischen die Befürchtung, dass Otto sich weigern wird den Dschungel zu verlassen "
